,1403-08-29,1403-08-30,1403-09-03,1403-09-04
09:15:00,[3084 np.float64(18800.0) np.float64(18730.0) 31110376],[71854 np.float64(18220.0) np.float64(18210.0) 2065],"[nan, nan, nan, nan]",[2109800 np.float64(19170.0) np.float64(19150.0) 9689]
09:15:01,[3084 np.float64(18800.0) np.float64(18730.0) 31110376],[16430 np.float64(18220.0) np.float64(18210.0) 4740],"[nan, nan, nan, nan]",[2105068 np.float64(19170.0) np.float64(19150.0) 9689]
09:15:02,[3084 np.float64(18800.0) np.float64(18730.0) 31110376],[16430 np.float64(18220.0) np.float64(18210.0) 4740],[165259 np.float64(18390.0) np.float64(18380.0) 14549],[2094021 np.float64(19170.0) np.float64(19150.0) 9689]
09:15:03,[3084 np.float64(18800.0) np.float64(18730.0) 31110376],[28260 np.float64(18210.0) np.float64(18200.0) 18020],[65259 np.float64(18390.0) np.float64(18380.0) 14549],[2094021 np.float64(19170.0) np.float64(19160.0) 265]
09:15:04,[3084 np.float64(18800.0) np.float64(18730.0) 31110376],[18605 np.float64(18210.0) np.float64(18200.0) 18020],[65259 np.float64(18390.0) np.float64(18380.0) 14549],[2081021 np.float64(19170.0) np.float64(19160.0) 265]
09:15:05,[3084 np.float64(18800.0) np.float64(18730.0) 31160376],[18605 np.float64(18210.0) np.float64(18200.0) 18020],[65259 np.float64(18390.0) np.float64(18380.0) 14549],[2081021 np.float64(19170.0) np.float64(19160.0) 265]
09:15:06,[3084 np.float64(18800.0) np.float64(18730.0) 31160376],[18605 np.float64(18210.0) np.float64(18170.0) 10573],[65259 np.float64(18390.0) np.float64(18380.0) 14549],[2076267 np.float64(19170.0) np.float64(19160.0) 265]
09:15:07,[3084 np.float64(18800.0) np.float64(18730.0) 31160376],[18605 np.float64(18210.0) np.float64(18200.0) 2000],[65259 np.float64(18390.0) np.float64(18380.0) 14549],[2076267 np.float64(19170.0) np.float64(19160.0) 265]
09:15:08,[3084 np.float64(18800.0) np.float64(18730.0) 31163579],[15605 np.float64(18210.0) np.float64(18200.0) 2000],[58842 np.float64(18390.0) np.float64(18380.0) 14364],[2076267 np.float64(19170.0) np.float64(19160.0) 265]
09:15:09,[3084 np.float64(18800.0) np.float64(18730.0) 31183579],[15605 np.float64(18210.0) np.float64(18200.0) 2000],[8842 np.float64(18390.0) np.float64(18380.0) 14564],[2076267 np.float64(19170.0) np.float64(19160.0) 265]
09:15:10,[3084 np.float64(18800.0) np.float64(18730.0) 31195296],[15605 np.float64(18210.0) np.float64(18200.0) 2000],[8842 np.float64(18390.0) np.float64(18380.0) 18837],[2074501 np.float64(19170.0) np.float64(19160.0) 4265]
09:15:11,[3084 np.float64(18800.0) np.float64(18730.0) 31245296],[65389 np.float64(18220.0) np.float64(18170.0) 10573],[20000 np.float64(18390.0) np.float64(18380.0) 18837],[2068448 np.float64(19170.0) np.float64(19160.0) 1965]
09:15:12,[3084 np.float64(18800.0) np.float64(18730.0) 31263136],[65389 np.float64(18220.0) np.float64(18200.0) 1023],[39000 np.float64(18390.0) np.float64(18380.0) 18837],[2067749 np.float64(19170.0) np.float64(19160.0) 1965]
09:15:13,[3084 np.float64(18800.0) np.float64(18730.0) 31263136],[65389 np.float64(18220.0) np.float64(18200.0) 1023],[39000 np.float64(18390.0) np.float64(18380.0) 18837],[2061539 np.float64(19170.0) np.float64(19160.0) 486]
09:15:14,[3084 np.float64(18800.0) np.float64(18730.0) 31167680],[165389 np.float64(18220.0) np.float64(18210.0) 4797],[39000 np.float64(18390.0) np.float64(18380.0) 18837],[2026329 np.float64(19170.0) np.float64(19160.0) 686]
09:15:15,[3084 np.float64(18800.0) np.float64(18730.0) 31149005],[165389 np.float64(18220.0) np.float64(18210.0) 3697],[39000 np.float64(18390.0) np.float64(18380.0) 18837],[2026329 np.float64(19170.0) np.float64(19160.0) 686]
09:15:16,[3084 np.float64(18800.0) np.float64(18730.0) 31149005],[165389 np.float64(18220.0) np.float64(18210.0) 1697],[249337 np.float64(18400.0) np.float64(18380.0) 18837],[2026329 np.float64(19170.0) np.float64(19160.0) 421]
09:15:17,[3084 np.float64(18800.0) np.float64(18730.0) 31144005],[165389 np.float64(18220.0) np.float64(18200.0) 720],[55000 np.float64(18390.0) np.float64(18380.0) 28637],[564 np.float64(19160.0) np.float64(19150.0) 10744]
09:15:18,[3084 np.float64(18800.0) np.float64(18730.0) 31244005],[165389 np.float64(18220.0) np.float64(18210.0) 20000],[55000 np.float64(18390.0) np.float64(18380.0) 28637],[100564 np.float64(19160.0) np.float64(19150.0) 10744]
09:15:19,[3084 np.float64(18800.0) np.float64(18730.0) 31277785],[265389 np.float64(18220.0) np.float64(18210.0) 20000],[686 np.float64(18390.0) np.float64(18380.0) 31354],[100564 np.float64(19160.0) np.float64(19150.0) 10744]
09:15:20,[3084 np.float64(18800.0) np.float64(18730.0) 31327785],[165445 np.float64(18210.0) np.float64(18200.0) 720],[686 np.float64(18390.0) np.float64(18380.0) 31354],[100564 np.float64(19160.0) np.float64(19150.0) 10744]
09:15:21,[3084 np.float64(18800.0) np.float64(18730.0) 31327785],[164445 np.float64(18210.0) np.float64(18200.0) 720],[686 np.float64(18390.0) np.float64(18380.0) 31354],[70564 np.float64(19160.0) np.float64(19150.0) 20744]
09:15:22,[3084 np.float64(18800.0) np.float64(18730.0) 31327785],[164445 np.float64(18210.0) np.float64(18200.0) 720],[686 np.float64(18390.0) np.float64(18380.0) 32064],[70564 np.float64(19160.0) np.float64(19150.0) 20944]
09:15:23,[3084 np.float64(18800.0) np.float64(18730.0) 31328318],[164445 np.float64(18210.0) np.float64(18200.0) 720],[686 np.float64(18390.0) np.float64(18380.0) 22498],[60564 np.float64(19160.0) np.float64(19150.0) 20944]
09:15:24,[3084 np.float64(18800.0) np.float64(18730.0) 31328318],[209445 np.float64(18210.0) np.float64(18200.0) 720],[686 np.float64(18390.0) np.float64(18380.0) 21998],[2013841 np.float64(19170.0) np.float64(19150.0) 21944]
09:15:25,[3084 np.float64(18800.0) np.float64(18730.0) 31328318],[210504 np.float64(18210.0) np.float64(18200.0) 720],[28686 np.float64(18390.0) np.float64(18380.0) 21998],[2013841 np.float64(19170.0) np.float64(19150.0) 21944]
09:15:26,[3084 np.float64(18800.0) np.float64(18730.0) 31328318],[210004 np.float64(18210.0) np.float64(18200.0) 720],[28686 np.float64(18390.0) np.float64(18380.0) 21998],[2013841 np.float64(19170.0) np.float64(19150.0) 21944]
09:15:27,[3084 np.float64(18800.0) np.float64(18730.0) 31338318],[210004 np.float64(18210.0) np.float64(18200.0) 720],[28686 np.float64(18390.0) np.float64(18380.0) 21998],[2013841 np.float64(19170.0) np.float64(19150.0) 26944]
09:15:28,[3084 np.float64(18800.0) np.float64(18730.0) 31338318],[116066 np.float64(18200.0) np.float64(18150.0) 1558024],[28686 np.float64(18390.0) np.float64(18380.0) 21998],[2013841 np.float64(19170.0) np.float64(19150.0) 26944]
09:15:29,[3084 np.float64(18800.0) np.float64(18730.0) 31338318],[116066 np.float64(18200.0) np.float64(18160.0) 90000],[93686 np.float64(18390.0) np.float64(18380.0) 21998],[2016204 np.float64(19170.0) np.float64(19150.0) 27944]
09:15:30,[3084 np.float64(18800.0) np.float64(18730.0) 31338318],[126066 np.float64(18200.0) np.float64(18160.0) 90000],[93686 np.float64(18390.0) np.float64(18380.0) 22148],[2016204 np.float64(19170.0) np.float64(19150.0) 27944]
09:15:31,[3084 np.float64(18800.0) np.float64(18730.0) 31338318],[171066 np.float64(18200.0) np.float64(18160.0) 90286],[143686 np.float64(18390.0) np.float64(18380.0) 22148],[2056204 np.float64(19170.0) np.float64(19160.0) 5000]
09:15:32,[3084 np.float64(18800.0) np.float64(18730.0) 31338318],[171066 np.float64(18200.0) np.float64(18170.0) 1200],[143686 np.float64(18390.0) np.float64(18380.0) 22148],[2106559 np.float64(19170.0) np.float64(19160.0) 5000]
09:15:33,[3084 np.float64(18800.0) np.float64(18730.0) 31333507],[171066 np.float64(18200.0) np.float64(18170.0) 1200],[143686 np.float64(18390.0) np.float64(18380.0) 15348],[2111559 np.float64(19170.0) np.float64(19160.0) 5000]
09:15:34,[3084 np.float64(18800.0) np.float64(18730.0) 31333507],[171066 np.float64(18200.0) np.float64(18170.0) 1200],[198686 np.float64(18390.0) np.float64(18380.0) 15348],[2112212 np.float64(19170.0) np.float64(19160.0) 5000]
09:15:35,[3084 np.float64(18800.0) np.float64(18730.0) 31444863],[171066 np.float64(18200.0) np.float64(18170.0) 1200],[198143 np.float64(18390.0) np.float64(18380.0) 15348],[2112212 np.float64(19170.0) np.float64(19160.0) 18000]
09:15:36,[3084 np.float64(18800.0) np.float64(18730.0) 31444863],[171066 np.float64(18200.0) np.float64(18170.0) 2200],[198143 np.float64(18390.0) np.float64(18380.0) 15348],[2102212 np.float64(19170.0) np.float64(19160.0) 18200]
09:15:37,[3084 np.float64(18800.0) np.float64(18730.0) 31475933],[171066 np.float64(18200.0) np.float64(18170.0) 2200],[39652 np.float64(18380.0) np.float64(18370.0) 101004],[2102212 np.float64(19170.0) np.float64(19160.0) 18200]
09:15:38,[3084 np.float64(18800.0) np.float64(18730.0) 31535933],[178066 np.float64(18200.0) np.float64(18170.0) 2200],[85728 np.float64(18380.0) np.float64(18370.0) 101064],[2097962 np.float64(19170.0) np.float64(19160.0) 18200]
09:15:39,[3084 np.float64(18800.0) np.float64(18730.0) 31518401],[178066 np.float64(18200.0) np.float64(18170.0) 2200],[85728 np.float64(18380.0) np.float64(18370.0) 101064],[2040958 np.float64(19170.0) np.float64(19160.0) 18200]
09:15:40,[3084 np.float64(18800.0) np.float64(18730.0) 31518401],[178066 np.float64(18200.0) np.float64(18170.0) 2200],[89448 np.float64(18380.0) np.float64(18370.0) 101064],[2040958 np.float64(19170.0) np.float64(19160.0) 18200]
09:15:41,[3084 np.float64(18800.0) np.float64(18730.0) 31518401],[178566 np.float64(18200.0) np.float64(18160.0) 80000],[88085 np.float64(18380.0) np.float64(18370.0) 101607],[2040958 np.float64(19170.0) np.float64(19160.0) 18200]
09:15:42,[3084 np.float64(18800.0) np.float64(18730.0) 31518401],[178566 np.float64(18200.0) np.float64(18160.0) 80000],[88085 np.float64(18380.0) np.float64(18370.0) 101607],[2040958 np.float64(19170.0) np.float64(19160.0) 22550]
09:15:43,[3084 np.float64(18800.0) np.float64(18730.0) 31521574],[182066 np.float64(18200.0) np.float64(18170.0) 50000],[103000 np.float64(18380.0) np.float64(18370.0) 101607],[2040958 np.float64(19170.0) np.float64(19160.0) 22550]
09:15:44,[3084 np.float64(18800.0) np.float64(18730.0) 31524074],[182066 np.float64(18200.0) np.float64(18150.0) 117407],[103000 np.float64(18380.0) np.float64(18360.0) 63060],[2067145 np.float64(19170.0) np.float64(19160.0) 22550]
09:15:45,[3084 np.float64(18800.0) np.float64(18730.0) 31539074],[182066 np.float64(18200.0) np.float64(18150.0) 117407],[97000 np.float64(18380.0) np.float64(18360.0) 63060],[2067145 np.float64(19170.0) np.float64(19160.0) 22550]
09:15:46,[3084 np.float64(18800.0) np.float64(18730.0) 31549074],[182066 np.float64(18200.0) np.float64(18150.0) 67407],[97000 np.float64(18380.0) np.float64(18360.0) 63060],[2750 np.float64(19160.0) np.float64(19150.0) 37544]
09:15:47,[3084 np.float64(18800.0) np.float64(18730.0) 31561074],[126664 np.float64(18180.0) np.float64(18150.0) 67407],[97000 np.float64(18380.0) np.float64(18360.0) 63060],[6750 np.float64(19160.0) np.float64(19150.0) 37444]
09:15:48,[3084 np.float64(18800.0) np.float64(18730.0) 31561074],[100153 np.float64(18190.0) np.float64(18150.0) 67407],[30940 np.float64(18360.0) np.float64(18350.0) 200878],[6750 np.float64(19160.0) np.float64(19150.0) 28444]
09:15:49,[3084 np.float64(18800.0) np.float64(18730.0) 31561074],[100153 np.float64(18190.0) np.float64(18150.0) 67407],[35940 np.float64(18360.0) np.float64(18350.0) 200878],[474944 np.float64(19170.0) np.float64(19150.0) 28444]
09:15:50,[3084 np.float64(18800.0) np.float64(18730.0) 31561074],[100153 np.float64(18190.0) np.float64(18160.0) 10994],[35940 np.float64(18360.0) np.float64(18350.0) 200878],[1000 np.float64(19280.0) np.float64(19170.0) 525606]
09:15:51,[3084 np.float64(18800.0) np.float64(18730.0) 31566074],[100153 np.float64(18190.0) np.float64(18160.0) 10994],[35940 np.float64(18360.0) np.float64(18350.0) 200878],[1000 np.float64(19280.0) np.float64(19170.0) 1525606]
09:15:52,[3084 np.float64(18800.0) np.float64(18730.0) 31566074],[200153 np.float64(18190.0) np.float64(18160.0) 10994],[48212 np.float64(18380.0) np.float64(18350.0) 195878],[1000 np.float64(19280.0) np.float64(19170.0) 2513606]
09:15:53,[3084 np.float64(18800.0) np.float64(18730.0) 31566074],[200153 np.float64(18190.0) np.float64(18160.0) 10994],[5000 np.float64(18350.0) np.float64(18340.0) 54347],[1000 np.float64(19280.0) np.float64(19170.0) 3523606]
