,1403-08-29,1403-08-30,1403-09-03,1403-09-04
09:15:00,[49 np.float64(2100.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1503.0) 223],"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
09:15:01,[49 np.float64(2100.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1503.0) 217],"[nan, nan, nan, nan]",[54 np.float64(2314.0) np.float64(2303.0) 85]
09:15:02,[49 np.float64(2100.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1503.0) 217],"[nan, nan, nan, nan]",[54 np.float64(2314.0) np.float64(2303.0) 85]
09:15:03,[49 np.float64(2100.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1504.0) 24],[50 np.float64(1750.0) np.float64(1736.0) 48],[94 np.float64(2314.0) np.float64(2301.0) 117]
09:15:04,[49 np.float64(2100.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1503.0) 386],[12 np.float64(1761.0) np.float64(1759.0) 51],[123 np.float64(2314.0) np.float64(2301.0) 117]
09:15:05,[49 np.float64(2100.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1503.0) 386],[12 np.float64(1761.0) np.float64(1759.0) 51],[883 np.float64(2301.0) np.float64(2300.0) 20]
09:15:06,[49 np.float64(2100.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1503.0) 386],[12 np.float64(1761.0) np.float64(1759.0) 51],[1883 np.float64(2301.0) np.float64(2300.0) 20]
09:15:07,[49 np.float64(2100.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1504.0) 200],[15 np.float64(1759.0) np.float64(1736.0) 48],[1868 np.float64(2301.0) np.float64(2300.0) 20]
09:15:08,[49 np.float64(2100.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1504.0) 200],[495 np.float64(1759.0) np.float64(1736.0) 48],[1873 np.float64(2301.0) np.float64(2300.0) 20]
09:15:09,[49 np.float64(2100.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1504.0) 224],[12 np.float64(1758.0) np.float64(1736.0) 48],[1873 np.float64(2301.0) np.float64(2300.0) 20]
09:15:10,[49 np.float64(2100.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1504.0) 224],[12 np.float64(1758.0) np.float64(1736.0) 48],[80 np.float64(2300.0) np.float64(2291.0) 9]
09:15:11,[49 np.float64(2100.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1504.0) 225],[12 np.float64(1758.0) np.float64(1736.0) 48],[18 np.float64(2299.0) np.float64(2291.0) 9]
09:15:12,[5 np.float64(2090.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1504.0) 225],[3 np.float64(1757.0) np.float64(1736.0) 48],[18 np.float64(2299.0) np.float64(2291.0) 9]
09:15:13,[5 np.float64(2090.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1505.0) 24],[3 np.float64(1757.0) np.float64(1736.0) 48],[18 np.float64(2299.0) np.float64(2291.0) 4]
09:15:14,[5 np.float64(2090.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1505.0) 24],[3 np.float64(1757.0) np.float64(1736.0) 48],[18 np.float64(2299.0) np.float64(2291.0) 3]
09:15:15,[5 np.float64(2090.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1505.0) 10],[3 np.float64(1757.0) np.float64(1736.0) 48],[18 np.float64(2299.0) np.float64(2291.0) 8]
09:15:16,[5 np.float64(2090.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1505.0) 10],[3 np.float64(1757.0) np.float64(1736.0) 48],[18 np.float64(2299.0) np.float64(2291.0) 7]
09:15:17,[5 np.float64(2090.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1505.0) 10],[67 np.float64(1756.0) np.float64(1737.0) 5],[18 np.float64(2299.0) np.float64(2291.0) 6]
09:15:18,[5 np.float64(2090.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1505.0) 24],[67 np.float64(1756.0) np.float64(1737.0) 5],[830 np.float64(2290.0) np.float64(2288.0) 20]
09:15:19,[5 np.float64(2090.0) np.float64(2080.0) 25],[76 np.float64(1520.0) np.float64(1505.0) 24],[52 np.float64(1756.0) np.float64(1737.0) 5],[18 np.float64(2289.0) np.float64(2288.0) 20]
09:15:20,[5 np.float64(2090.0) np.float64(2080.0) 25],[3 np.float64(1504.0) np.float64(1503.0) 164],[52 np.float64(1756.0) np.float64(1737.0) 5],[18 np.float64(2289.0) np.float64(2288.0) 19]
09:15:21,[5 np.float64(2090.0) np.float64(2080.0) 25],[3 np.float64(1504.0) np.float64(1503.0) 164],[52 np.float64(1756.0) np.float64(1737.0) 5],[18 np.float64(2289.0) np.float64(2288.0) 18]
09:15:22,[5 np.float64(2090.0) np.float64(2080.0) 25],[63 np.float64(1520.0) np.float64(1504.0) 24],[52 np.float64(1756.0) np.float64(1737.0) 5],[18 np.float64(2289.0) np.float64(2288.0) 17]
09:15:23,[5 np.float64(2090.0) np.float64(2080.0) 25],[63 np.float64(1520.0) np.float64(1504.0) 24],[52 np.float64(1756.0) np.float64(1737.0) 5],[18 np.float64(2289.0) np.float64(2288.0) 17]
09:15:24,[5 np.float64(2090.0) np.float64(2080.0) 25],[63 np.float64(1520.0) np.float64(1504.0) 24],[52 np.float64(1756.0) np.float64(1737.0) 5],[18 np.float64(2289.0) np.float64(2288.0) 57]
09:15:25,[5 np.float64(2090.0) np.float64(2080.0) 25],[62 np.float64(1510.0) np.float64(1504.0) 24],[52 np.float64(1756.0) np.float64(1737.0) 5],[18 np.float64(2289.0) np.float64(2288.0) 57]
09:15:26,[5 np.float64(2090.0) np.float64(2080.0) 25],[62 np.float64(1510.0) np.float64(1504.0) 24],[52 np.float64(1756.0) np.float64(1737.0) 5],[13 np.float64(2289.0) np.float64(2288.0) 57]
09:15:27,[49 np.float64(2100.0) np.float64(2080.0) 25],[62 np.float64(1510.0) np.float64(1504.0) 424],[97 np.float64(1736.0) np.float64(1727.0) 20],[13 np.float64(2289.0) np.float64(2288.0) 57]
09:15:28,[49 np.float64(2100.0) np.float64(2080.0) 25],[62 np.float64(1510.0) np.float64(1504.0) 188],[47 np.float64(1736.0) np.float64(1727.0) 20],[13 np.float64(2289.0) np.float64(2288.0) 58]
09:15:29,[49 np.float64(2100.0) np.float64(2080.0) 25],[500 np.float64(1509.0) np.float64(1504.0) 188],[47 np.float64(1736.0) np.float64(1727.0) 20],[13 np.float64(2289.0) np.float64(2288.0) 4]
09:15:30,[49 np.float64(2100.0) np.float64(2090.0) 93],[500 np.float64(1509.0) np.float64(1504.0) 155],[47 np.float64(1736.0) np.float64(1727.0) 20],[13 np.float64(2289.0) np.float64(2288.0) 4]
09:15:31,[49 np.float64(2100.0) np.float64(2091.0) 10],[3 np.float64(1508.0) np.float64(1504.0) 155],[47 np.float64(1736.0) np.float64(1727.0) 20],[845 np.float64(2290.0) np.float64(2289.0) 5]
09:15:32,[49 np.float64(2100.0) np.float64(2091.0) 10],[3 np.float64(1508.0) np.float64(1504.0) 155],[47 np.float64(1736.0) np.float64(1727.0) 20],[845 np.float64(2290.0) np.float64(2289.0) 5]
09:15:33,[49 np.float64(2100.0) np.float64(2091.0) 10],[3 np.float64(1508.0) np.float64(1504.0) 155],[47 np.float64(1736.0) np.float64(1727.0) 20],[845 np.float64(2290.0) np.float64(2289.0) 5]
09:15:34,[49 np.float64(2100.0) np.float64(2091.0) 10],[3 np.float64(1508.0) np.float64(1504.0) 155],[47 np.float64(1736.0) np.float64(1723.0) 22],[845 np.float64(2290.0) np.float64(2289.0) 5]
09:15:35,[42 np.float64(2100.0) np.float64(2091.0) 10],[500 np.float64(1507.0) np.float64(1505.0) 24],[47 np.float64(1736.0) np.float64(1723.0) 22],[20 np.float64(2288.0) np.float64(2287.0) 8]
09:15:36,[42 np.float64(2100.0) np.float64(2091.0) 10],[500 np.float64(1507.0) np.float64(1505.0) 24],[47 np.float64(1736.0) np.float64(1723.0) 22],[20 np.float64(2288.0) np.float64(2287.0) 8]
09:15:37,[42 np.float64(2100.0) np.float64(2091.0) 10],[76 np.float64(1505.0) np.float64(1504.0) 105],[47 np.float64(1736.0) np.float64(1723.0) 22],[20 np.float64(2288.0) np.float64(2287.0) 8]
09:15:38,[42 np.float64(2100.0) np.float64(2091.0) 10],[76 np.float64(1505.0) np.float64(1504.0) 105],[99 np.float64(1750.0) np.float64(1723.0) 22],[20 np.float64(2288.0) np.float64(2287.0) 8]
09:15:39,[37 np.float64(2100.0) np.float64(2091.0) 10],[76 np.float64(1505.0) np.float64(1504.0) 105],[99 np.float64(1750.0) np.float64(1720.0) 15],[20 np.float64(2288.0) np.float64(2287.0) 8]
09:15:40,[37 np.float64(2100.0) np.float64(2091.0) 10],[76 np.float64(1505.0) np.float64(1504.0) 205],[99 np.float64(1750.0) np.float64(1720.0) 15],[20 np.float64(2288.0) np.float64(2287.0) 8]
09:15:41,[37 np.float64(2100.0) np.float64(2091.0) 10],[546 np.float64(1505.0) np.float64(1504.0) 69],[99 np.float64(1750.0) np.float64(1720.0) 15],[5 np.float64(2288.0) np.float64(2287.0) 8]
09:15:42,[37 np.float64(2100.0) np.float64(2091.0) 10],[546 np.float64(1505.0) np.float64(1504.0) 63],[3 np.float64(1749.0) np.float64(1720.0) 15],[5 np.float64(2288.0) np.float64(2287.0) 8]
09:15:43,[37 np.float64(2100.0) np.float64(2091.0) 10],[546 np.float64(1505.0) np.float64(1504.0) 60],[3 np.float64(1749.0) np.float64(1720.0) 15],[5 np.float64(2288.0) np.float64(2287.0) 8]
09:15:44,[37 np.float64(2100.0) np.float64(2091.0) 10],[546 np.float64(1505.0) np.float64(1502.0) 46],[3 np.float64(1749.0) np.float64(1720.0) 15],[834 np.float64(2290.0) np.float64(2287.0) 8]
09:15:45,[37 np.float64(2100.0) np.float64(2091.0) 10],[446 np.float64(1505.0) np.float64(1502.0) 46],[3 np.float64(1749.0) np.float64(1720.0) 15],[4 np.float64(2286.0) np.float64(2270.0) 8]
09:15:46,[37 np.float64(2100.0) np.float64(2091.0) 10],[422 np.float64(1505.0) np.float64(1502.0) 46],[18 np.float64(1749.0) np.float64(1720.0) 15],[4 np.float64(2286.0) np.float64(2270.0) 8]
09:15:47,[37 np.float64(2100.0) np.float64(2091.0) 10],[193 np.float64(1500.0) np.float64(1480.0) 40],[18 np.float64(1749.0) np.float64(1720.0) 15],[4 np.float64(2286.0) np.float64(2270.0) 8]
09:15:48,[31 np.float64(2100.0) np.float64(2091.0) 10],[993 np.float64(1500.0) np.float64(1480.0) 40],[498 np.float64(1749.0) np.float64(1720.0) 15],[4 np.float64(2286.0) np.float64(2270.0) 8]
09:15:49,[41 np.float64(2100.0) np.float64(2091.0) 10],[993 np.float64(1500.0) np.float64(1480.0) 40],[185 np.float64(1720.0) np.float64(1719.0) 25],[4 np.float64(2286.0) np.float64(2270.0) 8]
09:15:50,[41 np.float64(2100.0) np.float64(2091.0) 10],[993 np.float64(1500.0) np.float64(1480.0) 40],[185 np.float64(1720.0) np.float64(1719.0) 25],[4 np.float64(2286.0) np.float64(2270.0) 8]
09:15:51,[41 np.float64(2100.0) np.float64(2091.0) 10],[993 np.float64(1500.0) np.float64(1480.0) 40],[183 np.float64(1720.0) np.float64(1719.0) 25],[4 np.float64(2286.0) np.float64(2253.0) 100]
09:15:52,[41 np.float64(2100.0) np.float64(2091.0) 10],[993 np.float64(1500.0) np.float64(1480.0) 40],[183 np.float64(1720.0) np.float64(1719.0) 25],[4 np.float64(2286.0) np.float64(2281.0) 50]
09:15:53,[41 np.float64(2100.0) np.float64(2080.0) 81],[993 np.float64(1500.0) np.float64(1481.0) 24],[183 np.float64(1720.0) np.float64(1719.0) 25],[4 np.float64(2286.0) np.float64(2281.0) 50]
09:15:54,[41 np.float64(2100.0) np.float64(2091.0) 10],[993 np.float64(1500.0) np.float64(1481.0) 24],[183 np.float64(1720.0) np.float64(1719.0) 25],[28 np.float64(2286.0) np.float64(2281.0) 50]
09:15:55,[41 np.float64(2100.0) np.float64(2091.0) 10],[993 np.float64(1500.0) np.float64(1481.0) 24],[183 np.float64(1720.0) np.float64(1719.0) 13],[26 np.float64(2286.0) np.float64(2281.0) 50]
09:15:56,[41 np.float64(2100.0) np.float64(2080.0) 81],[3 np.float64(1499.0) np.float64(1481.0) 24],[183 np.float64(1720.0) np.float64(1719.0) 13],[26 np.float64(2286.0) np.float64(2281.0) 50]
09:15:57,[41 np.float64(2100.0) np.float64(2081.0) 10],[98 np.float64(1481.0) np.float64(1480.0) 40],[45 np.float64(1719.0) np.float64(1710.0) 32],[26 np.float64(2286.0) np.float64(2281.0) 50]
09:15:58,[99 np.float64(2091.0) np.float64(2081.0) 10],[98 np.float64(1481.0) np.float64(1480.0) 40],[57 np.float64(1719.0) np.float64(1710.0) 32],[76 np.float64(2290.0) np.float64(2253.0) 100]
09:15:59,[99 np.float64(2091.0) np.float64(2081.0) 10],[98 np.float64(1481.0) np.float64(1480.0) 40],[163 np.float64(1719.0) np.float64(1710.0) 32],[76 np.float64(2290.0) np.float64(2254.0) 20]
09:16:00,[99 np.float64(2091.0) np.float64(2081.0) 10],[77 np.float64(1481.0) np.float64(1480.0) 40],[163 np.float64(1719.0) np.float64(1710.0) 32],[76 np.float64(2290.0) np.float64(2286.0) 1]
09:16:01,[99 np.float64(2091.0) np.float64(2081.0) 10],[77 np.float64(1481.0) np.float64(1480.0) 40],[163 np.float64(1719.0) np.float64(1710.0) 32],[76 np.float64(2290.0) np.float64(2286.0) 1]
09:16:02,[119 np.float64(2091.0) np.float64(2081.0) 10],[77 np.float64(1481.0) np.float64(1480.0) 40],[163 np.float64(1719.0) np.float64(1710.0) 29],[76 np.float64(2290.0) np.float64(2286.0) 1]
09:16:03,[119 np.float64(2091.0) np.float64(2081.0) 10],[77 np.float64(1481.0) np.float64(1480.0) 30],[53 np.float64(1710.0) np.float64(1708.0) 8],[39 np.float64(2281.0) np.float64(2254.0) 20]
09:16:04,[119 np.float64(2091.0) np.float64(2081.0) 8],[76 np.float64(1481.0) np.float64(1480.0) 30],[53 np.float64(1710.0) np.float64(1708.0) 8],[39 np.float64(2281.0) np.float64(2254.0) 20]
09:16:05,[119 np.float64(2091.0) np.float64(2081.0) 8],[76 np.float64(1481.0) np.float64(1454.0) 15],[73 np.float64(1710.0) np.float64(1708.0) 8],[39 np.float64(2300.0) np.float64(2254.0) 20]
